filepath,pii_types_found
EclipseDataSpaceConnector/data-protocols/dsp/dsp-transfer-process/dsp-transfer-process-transform/src/main/java/org/eclipse/edc/protocol/dsp/transferprocess/transformer/type/to/JsonObjectToTransferStartMessageTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-transfer-process/dsp-transfer-process-transform/src/main/java/org/eclipse/edc/protocol/dsp/transferprocess/transformer/type/to/JsonObjectToTransferTerminationMessageTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/docs/developer/decision-records/2022-09-29-sql-query-streaming/README.md,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/docs/developer/ids-dataspace-protocol/ids-endpoints-services-architecture.md,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/docs/developer/state-machine.md,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/api/api-core/README.md,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/api/api-core/src/main/java/org/eclipse/edc/api/transformer/JsonObjectFromCallbackAddressTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/api/api-core/src/main/java/org/eclipse/edc/api/transformer/JsonObjectToCallbackAddressTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/api/api-core/src/main/java/org/eclipse/edc/api/validation/DataAddressValidator.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/api/api-core/src/test/java/org/eclipse/edc/api/validation/DataAddressValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/api/management-api-configuration/src/test/java/org/eclipse/edc/connector/api/management/configuration/transform/JsonObjectFromContractAgreementTransformerTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/auth/auth-basic/src/main/java/org/eclipse/edc/api/auth/basic/BasicAuthenticationService.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/auth/auth-tokenbased/src/main/java/org/eclipse/edc/api/auth/token/TokenBasedAuthenticationService.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/crypto/crypto-common/src/main/java/org/eclipse/edc/security/token/jwt/CryptoConverter.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/crypto/crypto-common/src/test/java/org/eclipse/edc/security/token/jwt/CryptoConverterTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/crypto/jws2020/src/main/java/org/eclipse/edc/security/signature/jws2020/IssuerCompatibility.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/extensions/common/crypto/jws2020/src/test/java/org/eclipse/edc/security/signature/jws2020/JsonAdapterTest.java,[IP_ADDRESS_6A]
